,CLASS_LABEL
HMF000006A,0
HMF000014A,0
HMF000025A,0
HMF000035A,0
HMF000044A,0
HMF000045A,0
HMF000077A,0
HMF000085A,0
HMF000087A,0
HMF000100A,0
HMF000101A,0
HMF000116A,0
HMF000117A,0
HMF000135A,0
HMF000143A,0
HMF000144A,0
HMF000145A,0
HMF000150A,0
HMF000170A,0
HMF000171A,0
HMF000179A,0
HMF000179B,0
HMF000184A,0
HMF000192A,0
HMF000193A,0
HMF000195A,0
HMF000195B,0
HMF000196A,0
HMF000196B,0
HMF000218A,0
HMF000228A,0
HMF000233A,0
HMF000235A,0
HMF000239A,0
HMF000251A,0
HMF000255A,0
HMF000261A,0
HMF000266A,0
HMF000273A,0
HMF000275A,0
HMF000295A,0
HMF000309A,0
HMF000314A,0
HMF000323C,0
HMF000331A,0
HMF000341A,0
HMF000341B,0
HMF000342B,0
HMF000354A,0
HMF000360A,0
HMF000366A,0
HMF000370A,0
HMF000371A,0
HMF000374A,0
HMF000381A,0
HMF000390A,0
HMF000390B,0
HMF000397A,0
HMF000408A,0
HMF000411B,0
HMF000415A,0
HMF000417A,0
HMF000435A,1
HMF000452A,0
HMF000459A,0
HMF000476A,0
HMF000476B,0
HMF000480B,0
HMF000492A,0
HMF000497A,0
HMF000502A,0
HMF000504A,0
HMF000514A,0
HMF000529A,0
HMF000545A,0
HMF000556A,0
HMF000558A,0
HMF000567A,0
HMF000577A,0
HMF000583A,0
HMF000598A,0
HMF000624A,0
HMF000625A,0
HMF000629A,0
HMF000632A,0
HMF000637A,0
HMF000646A,0
HMF000651A,0
HMF000656A,0
HMF000665A,0
HMF000668A,0
HMF000688A,0
HMF000688B,0
HMF000693B,0
HMF000701A,0
HMF000708A,0
HMF000710A,0
HMF000713A,0
HMF000718A,0
HMF000718B,0
HMF000718C,0
HMF000719A,0
HMF000733A,0
HMF000734A,0
HMF000735A,0
HMF000737A,0
HMF000758A,0
HMF000761A,0
HMF000766A,0
HMF000768A,0
HMF000769A,0
HMF000773A,0
HMF000781A,0
HMF000785A,0
HMF000802A,0
HMF000806A,0
HMF000817A,0
HMF000818A,0
HMF000828A,0
HMF000834A,0
HMF000834B,0
HMF000848A,0
HMF000851A,0
HMF000851B,0
HMF000857A,0
HMF000867A,0
HMF000886B,1
HMF000887A,1
HMF000889A,0
HMF000889B,0
HMF000901A,0
HMF000903A,0
HMF000908A,0
HMF000914A,0
HMF000914B,0
HMF000915A,0
HMF000919A,0
HMF000922A,0
HMF000935A,0
HMF000937A,0
HMF000941A,0
HMF000950A,0
HMF000953A,0
HMF000953B,0
HMF000959A,0
HMF000962A,0
HMF000964A,0
HMF000965A,0
HMF000968A,0
HMF000984B,0
HMF000987A,1
HMF000988A,0
HMF000989A,0
HMF000997A,0
HMF001017A,0
HMF001019A,0
HMF001031A,0
HMF001031B,0
HMF001042A,0
HMF001046A,0
HMF001046B,0
HMF001055A,0
HMF001061A,0
HMF001064A,0
HMF001066A,1
HMF001076A,0
HMF001084A,0
HMF001089A,0
HMF001089B,0
HMF001089C,0
HMF001094A,0
HMF001103A,0
HMF001125A,0
HMF001130A,0
HMF001132A,0
HMF001138A,0
HMF001145A,0
HMF001145B,0
HMF001148A,0
HMF001157A,0
HMF001160A,0
HMF001161A,0
HMF001163A,0
HMF001172A,0
HMF001174A,0
HMF001190A,0
HMF001191A,0
HMF001204A,0
HMF001211A,0
HMF001219A,0
HMF001225A,0
HMF001228A,0
HMF001244A,0
HMF001252A,0
HMF001271A,0
HMF001274A,0
HMF001275A,0
HMF001280A,0
HMF001298A,0
HMF001317A,0
HMF001323A,0
HMF001330A,0
HMF001341A,0
HMF001347A,0
HMF001349A,0
HMF001351A,0
HMF001352A,0
HMF001364A,0
HMF001390A,0
HMF001392A,0
HMF001401A,0
HMF001427A,0
HMF001428A,0
HMF001443A,0
HMF001447A,0
HMF001454A,0
HMF001466A,0
HMF001468A,0
HMF001473A,1
HMF001478A,0
HMF001491A,0
HMF001496A,0
HMF001502A,0
HMF001504A,0
HMF001516A,0
HMF001533A,0
HMF001535A,0
HMF001540A,0
HMF001546A,0
HMF001569A,0
HMF001575A,0
HMF001580A,0
HMF001587A,0
HMF001597A,0
HMF001607A,0
HMF001614A,0
HMF001628A,0
HMF001646A,0
HMF001646C,0
HMF001656A,0
HMF001671A,0
HMF001678A,0
HMF001684A,0
HMF001689A,0
HMF001690A,0
HMF001698A,0
HMF001708A,0
HMF001711A,0
HMF001713A,0
HMF001721A,0
HMF001727A,0
HMF001729A,0
HMF001730A,0
HMF001736A,0
HMF001774A,0
HMF001780A,0
HMF001791A,0
HMF001794A,0
HMF001802A,0
HMF001820A,0
HMF001836A,0
HMF001841A,1
HMF001860A,0
HMF001868A,0
HMF001902A,0
HMF001902B,0
HMF001905A,0
HMF001916C,0
HMF001924A,0
HMF001930A,0
HMF001931A,0
HMF001933B,0
HMF001940A,0
HMF001945B,0
HMF001962A,0
HMF001969A,0
HMF001970A,0
HMF001971A,0
HMF001982A,0
HMF001982B,0
HMF002003A,0
HMF002025A,0
HMF002037A,0
HMF002039A,0
HMF002042A,0
HMF002063A,0
HMF002073A,0
HMF002075A,0
HMF002080A,0
HMF002081A,0
HMF002086A,0
HMF002088A,0
HMF002093A,0
HMF002099A,0
HMF002114A,0
HMF002116A,0
HMF002119A,0
HMF002135A,0
HMF002147A,0
HMF002151A,0
HMF002179A,0
HMF002181A,0
HMF002195A,1
HMF002196A,0
HMF002199A,0
HMF002201A,0
HMF002225A,0
HMF002233A,0
HMF002241B,0
HMF002244A,0
HMF002252A,0
HMF002265A,0
HMF002267A,0
HMF002268A,0
HMF002270A,0
HMF002272A,0
HMF002280A,0
HMF002285A,0
HMF002290A,0
HMF002307A,0
HMF002312A,0
HMF002324A,0
HMF002327A,0
HMF002329A,0
HMF002342A,0
HMF002350B,0
HMF002355A,0
HMF002358A,0
HMF002359A,0
HMF002360A,0
HMF002363A,0
HMF002368A,0
HMF002414A,0
HMF002424A,0
HMF002428B,0
HMF002432A,0
HMF002435A,0
HMF002442A,0
HMF002448A,0
HMF002454A,0
HMF002457A,0
HMF002461A,0
HMF002463A,0
HMF002464A,0
HMF002464B,0
HMF002470A,0
HMF002473A,0
HMF002481A,0
HMF002484A,0
HMF002491A,0
HMF002493A,0
HMF002494A,0
HMF002495A,0
HMF002521A,0
HMF002524A,0
HMF002526A,0
HMF002529A,0
HMF002540A,0
HMF002554A,0
HMF002559A,0
HMF002560A,0
HMF002562A,0
HMF002568A,0
HMF002569A,0
HMF002573A,0
HMF002573B,0
HMF002578A,0
HMF002579A,1
HMF002583A,0
HMF002589A,0
HMF002599A,0
HMF002600A,1
HMF002608A,0
HMF002615A,0
HMF002625A,0
HMF002638A,0
HMF002642A,0
HMF002652A,0
HMF002655A,0
HMF002676A,0
HMF002680A,0
HMF002692A,0
HMF002721A,0
HMF002725A,0
HMF002735A,0
HMF002743A,1
HMF002744A,0
HMF002756A,0
HMF002761A,0
HMF002761B,0
HMF002764A,0
HMF002765B,0
HMF002796A,0
HMF002801A,0
HMF002809A,0
HMF002813A,0
HMF002822A,0
HMF002831A,0
HMF002841A,0
HMF002846A,0
HMF002852A,0
HMF002852B,0
HMF002862A,0
HMF002873A,0
HMF002878A,0
HMF002887A,0
HMF002896A,0
HMF002900A,0
HMF002904A,0
HMF002915A,0
HMF002917A,0
HMF002932A,0
HMF002935A,0
HMF002951A,0
HMF002960A,0
HMF002965A,0
HMF002980A,0
HMF002980B,0
HMF002980C,0
HMF002980D,0
HMF002985A,0
HMF002988A,0
HMF002995A,0
HMF003003A,0
HMF003008A,0
HMF003025A,0
HMF003034A,0
HMF003049A,0
HMF003055A,0
HMF003062A,0
HMF003062B,0
HMF003064A,0
HMF003071A,0
HMF003072A,0
HMF003090A,0
HMF003092A,0
HMF003096A,0
HMF003099A,0
HMF003102A,0
HMF003104A,0
HMF003105A,0
HMF003113A,0
HMF003134A,0
HMF003134B,0
HMF003154A,0
HMF003168A,0
HMF003181A,1
HMF003213A,0
HMF003227A,0
HMF003231A,0
HMF003231B,0
HMF003236A,0
HMF003264A,0
HMF003287A,0
HMF003303A,0
HMF003306A,0
HMF003314A,0
HMF003318A,0
HMF003319A,0
HMF003325A,0
HMF003337A,0
HMF003338B,0
HMF003362A,0
HMF003363A,0
HMF003368A,0
HMF003374A,0
HMF003376A,0
HMF003382A,0
HMF003389A,0
HMF003391A,0
HMF003392A,0
HMF003399A,0
HMF003401A,0
HMF003414A,1
HMF003417A,0
HMF003422A,0
HMF003427A,0
HMF003429A,0
HMF003443A,0
HMF003446A,0
HMF003447A,0
HMF003448A,0
HMF003449A,0
HMF003450A,0
HMF003453A,0
HMF003464A,0
HMF003471A,0
HMF003473A,0
HMF003477A,0
HMF003479A,0
HMF003479B,0
HMF003502A,0
HMF003507A,0
HMF003509A,0
HMF003510A,0
HMF003511A,0
HMF003513A,0
HMF003519A,0
HMF003527A,0
HMF003528A,0
HMF003531A,0
HMF003562A,0
HMF003568A,0
HMF003573A,0
HMF003581A,0
HMF003586A,0
HMF003599A,0
HMF003614A,0
HMF003645A,0
HMF003665A,0
HMF003670A,0
HMF003676A,0
HMF003677A,0
HMF003678A,0
HMF003684A,0
HMF003691A,0
